headline,type
"Afraid of being dumped by residents, motorcycle thieves in Surabaya hide in the sewers",Theft
Recognition of Probolinggo Men who were beaten by 5 young men: Drunk perpetrators,Threat
There was no damage to the door of the sardder houses who were robbed in Malang,Theft
"Control the drug business from the detention center, Antonius is threatened",Drugs
Residivist & Ojol in Surabaya Combined on Drugs,Drugs
Drug dealers in Surabaya are raided in front of the bank ATM when they want to transactions,Drugs
"San Francisco security guard who fatally shot Banko Brown charged $1,500 in fines",Murder
"Threats of violence, self-harm, or abandonment can be emotionally abusive. Feeling controlled or unsafe around someone could be a sign.",Abuse
A partner or family member who tries to isolate you from friends and support systems could be emotionally abusive. Loss of social connections or a feeling of being trapped could be a sign.,Abuse
"Constant yelling, raging, or creating a hostile environment can be emotionally abusive. Feeling like you're constantly walking on eggshells could be a sign.",Abuse
Publicly belittling or shaming someone is emotional abuse. A victim may avoid social situations or feel worthless.,Abuse
"Manipulating someone into questioning their reality or sanity is emotional abuse. Feeling confused, self-doubting, or like you're ""crazy"" could be a sign.",Abuse
"Preventing a partner from working, controlling their finances, or racking up debt in their name is domestic abuse. Difficulty meeting financial obligations or lack of access to personal funds could be a sign.",Abuse
"Hitting, shoving, kicking, or any form of physical violence is domestic abuse. Unexplained injuries or a fear of one's partner could be signs.",Abuse
"Constant put-downs, insults, or threats can be emotionally abusive. A victim may walk on eggshells or feel like they can't do anything right.",Abuse
"A partner who monitors a person's movements, controls finances, or isolates them from friends and family might be abusive.",Abuse
Exploiting an elder's fear or manipulating them through threats or guilt could be psychological abuse. Unexplained changes in mood or behavior could be a sign.,Abuse
"An elder who is verbally attacked, isolated, or intimidated might be emotionally abused. They may become withdrawn, depressed, or fearful.",Abuse
"An elder not receiving proper food, medication, or hygiene assistance could be neglected. Dehydration, malnutrition, or unsanitary living conditions could be signs.",Abuse
"Bruises, unexplained injuries, or signs of restraint on an elder could be indicators of physical abuse.",Abuse
An elder pressured into signing over assets or becoming a victim of scams might be experiencing financial abuse. Unexplained financial activity in their accounts could be a sign.,Abuse
Children exposed to violence between parents can suffer emotional and psychological trauma. They may exhibit behavioral problems or anxiety.,Abuse
"A child constantly belittled, called names, or threatened might experience emotional abuse. They may have low self-esteem or anxiety.",Abuse
"A child who is consistently hungry, dirty, or lacks proper medical care could be neglected. They may have developmental delays or learning difficulties.",Abuse
A child who exhibits inappropriate sexual behavior or knowledge beyond their age might be a victim of sexual abuse. They may be withdrawn or have nightmares.,Abuse
A child with unexplained bruises or broken bones might be experiencing physical abuse. They may become withdrawn or aggressive.,Abuse
Addressing social issues like poverty and drug addiction that can contribute to robbery.,Theft
Public awareness campaigns educate people about protecting themselves from scams and identity theft.,Theft
Well-lit streets and parking lots can deter robbery attempts.,Theft
Communities work together to deter crime and report suspicious activity.,Theft
"Businesses invest in security systems, cameras, and trained security personnel.",Theft
"Fibers, hair, or other trace evidence can link a suspect to the crime.",Theft
Fingerprints left at the scene can identify the perpetrators.,Theft
"If shots were fired, ballistics analysis helps link the weapon to a crime scene.",Theft
Investigators analyze CCTV footage to identify suspects and track their movements.,Theft
Police talk to potential witnesses who may have seen the robbery.,Theft
A robbery escalates to violence or ends with the robbers getting caught.,Theft
A poorly planned and executed robbery attempt.,Theft
Someone driven by financial hardship commits a robbery.,Theft
Sophisticated criminal organizations plan and execute elaborate robberies.,Theft
"A thief takes advantage of a situation, like an unlocked car or a distracted victim.",Theft
A pharmacy is robbed for prescription drugs that can be sold illegally.,Theft
A museum or private collection is targeted for the theft of valuable artwork.,Theft
Criminals steal valuable goods being transported by truck or train.,Theft
Robbers target stores selling luxury items like watches or electronics.,Theft
A smash-and-grab robbery or a more elaborate plan targets a jewelry store.,Theft
Thieves steal personal information to make unauthorized purchases.,Theft
Hackers use stolen credentials to steal money electronically.,Theft
 A heavily armored vehicle transporting cash is targeted by robbers.,Theft
Thieves either break into an ATM or use sophisticated methods to steal cash.,Theft
A group of robbers overpowers bank employees and steals cash from the vault.,Theft
A robber threatens employees of a convenience store to steal cash and merchandise.,Theft
A robber threatens victims with a weapon to steal money or valuables.,Theft
A skilled thief lifts valuables from pockets in crowded areas.,Theft
A thief steals a purse or phone from an unsuspecting victim.,Theft
A pedestrian is threatened and robbed of their belongings on the street.,Theft
A cultural shift towards prioritizing safety measures to prevent accidents from happening in the first place.,Accidents
Industries with high accident rates face increased scrutiny and potential regulations.,Accidents
Support groups offer resources and comfort to families who lost loved ones in accidents.,Accidents
"Safety features in vehicles, homes, and workplaces are constantly improved.",Accidents
Campaigns aim to educate the public about safety measures to prevent accidents.,Accidents
Incidents may lead to stricter regulations to prevent similar accidents.,Accidents
Authorities investigate workplace accidents to identify safety violations.,Accidents
"If a faulty product caused the accident, a lawsuit against the manufacturer is possible.",Accidents
" If recklessness or negligence caused the accident, criminal charges may be pursued.",Accidents
Victims' families may file lawsuits against negligent parties for compensation.,Accidents
Physical evidence from the scene is examined for clues about the cause.,Accidents
Tests are conducted to identify if drugs or alcohol were a factor in an accident.,Accidents
